50407;;2;70;140
50193;;51;45;80
50286;;45;70;140
50287;;66;45;80
50288;;54;70;140
50291;;59;65;100
50292;;41;103;150
50290;;20;190;299
50295;;78;103;150
50293;;17;190;299
50296;;29;200;330
50298;;32;110;160
50297;;28;70;120
50294;;65;65;100
50300;;15;120;160
50301;;10;120;160
50299;;4;210;330
50302;;6;210;330
50183;;3;42;70
50338;;2;44;70
50214;;11;49;70
50384;;32;42;70
50408;;6;52;70
50132;;21;47;70
50161;;4;51;70
50179;;3;60;80
50383;;3;42;75
50233;;3;51;75
50145;;9;65;90
50166;;9;53;75
50205;;3;52;70
50232;;7;80;110
50186;;5;78;110
50212;;8;145;180
50379;;4;160;190
50409;;3;150;190
50410;;1;135;170
50352;;2;135;170
50191;;6;138;175
50215;;6;138;175
50353;;5;140;180
50150;;5;165;200
50411;;1;145;185
50238;;2;148;185
50412;;5;145;185
50354;;5;240;330
50390;;3;230;300
50413;;2;48;80
50385;;1;70;120
50381;;3;160;230
50243;;5;65;90
50414;;2;60;80
50415;;1;270;400
50416;;7;60;90
50398;;2;380;430
50417;;1;310;450
50418;;2;330;450
50316;;1;120;170
50189;;5;80;120
50419;;3;70;110
50420;;1;265;240
50421;;1;80;120
50422;;4;165;240
30091;;4;70;120
50303;;19;42;70
50305;;15;42;70
50308;;32;70;110
50309;;24;42;70
50311;;24;42;70
50314;;57;70;110
50199;;30;65;100
50206;;26;105;150
50280;;17;190;330
50281;;44;65;100
50282;;39;105;150
50209;;17;190;330
50285;;20;115;180
50283;;7;205;360
50307;;20;70;110
50279;;5;105;160
50278;;4;65;100
50313;;12;70;110
30094;;1;20;40
01162;;1;40;50
01163;;2;80;180
01196;;1;370;599
01122;;6;40;70
01116;;5;24;45
01186;;2;29;59
01126;;1;35;70
01137;;1;60;100
50272;;1;190;300
09088;;3;28;50
09149;;2;40;70
30095;;3;15;30
01164;;1;130;300
01195;;1;30;60
01129;;2;30;50
12054;;8;14;29
04043;;3;2;8
08075;;5;10;20
30096;;8;6;20
07133;;4;2;5
07099;;2;2;10
12301;;6;2;10
30097 |;;2;15;30
70056;;5;8;20
70075;;4;15;30
70023;;3;12;25
08065;;1;12;20
